subject,relationship,object,note_id,note_title
systemd,reported,failure of nagios-nrpe-server.service,21d9edd4-dce0-4ff2-a54f-54e2792eae02,Alert Reduction
nrpe,failed to bind,port 5666 on 10.132.237.154,21d9edd4-dce0-4ff2-a54f-54e2792eae02,Alert Reduction
nagios-nrpe-server.service,exited with,failure status,21d9edd4-dce0-4ff2-a54f-54e2792eae02,Alert Reduction
user,needs to be connected as,the owner with psql,e88dd2d4-c36f-4889-bd06-d57e575f4fcd,PostgreSQL table owner
psql,connects to,PostgreSQL,e88dd2d4-c36f-4889-bd06-d57e575f4fcd,PostgreSQL table owner
Table,requires,owner privileges,e88dd2d4-c36f-4889-bd06-d57e575f4fcd,PostgreSQL table owner
command,allows to see,table owner,e88dd2d4-c36f-4889-bd06-d57e575f4fcd,PostgreSQL table owner
command,lists,all tables with its owner,e88dd2d4-c36f-4889-bd06-d57e575f4fcd,PostgreSQL table owner
you,need to get,connection string from DO for that user,e88dd2d4-c36f-4889-bd06-d57e575f4fcd,PostgreSQL table owner
you,do,psql with the connection string for the user,e88dd2d4-c36f-4889-bd06-d57e575f4fcd,PostgreSQL table owner
ALTER TABLE public.account_emailaddress,changes owner to,bucketlist_live,e88dd2d4-c36f-4889-bd06-d57e575f4fcd,PostgreSQL table owner
CREATE EXTERNAL TABLE,defines,cloudtrail_logs_blcorp_management,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,eventVersion,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,userIdentity,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,eventTime,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,eventSource,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,eventName,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,awsRegion,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,sourceIpAddress,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,userAgent,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,errorCode,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,errorMessage,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,requestParameters,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,responseElements,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,additionalEventData,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,requestId,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,eventId,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,resources,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,eventType,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,apiVersion,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,readOnly,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,recipientAccountId,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,serviceEventDetails,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,sharedEventID,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,vpcEndpointId,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has column,tlsDetails,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,uses,JsonSerDe,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,uses,CloudTrailInputFormat,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,uses,HiveIgnoreKeyTextOutputFormat,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,is stored in,s3://blcorp-management-cloudtrail/cloudtrail/AWSLogs/o-cdmv6ntjhq/,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
cloudtrail_logs_blcorp_management,has property,classification=cloudtrail,9ed22669-60b9-4a99-acb0-0ce371c56d0f,Cloudtrail and Athena
rules,enable,new exporters,d0574bd6-ff75-4c21-b952-1b43d36a55e0,Environment Rebuild
new exporters,include,Redis,d0574bd6-ff75-4c21-b952-1b43d36a55e0,Environment Rebuild
new exporters,include,NGINX,d0574bd6-ff75-4c21-b952-1b43d36a55e0,Environment Rebuild
metric collection,enable,Promtail,d0574bd6-ff75-4c21-b952-1b43d36a55e0,Environment Rebuild
user,runs,docker compose command,1e389635-ab16-4b5b-990d-4103553d4875,Wireguard
user,installs,Docker compose plugin,1e389635-ab16-4b5b-990d-4103553d4875,Wireguard
Docker compose plugin,is installed by,user,1e389635-ab16-4b5b-990d-4103553d4875,Wireguard
docker compose,executes,certbot command,1e389635-ab16-4b5b-990d-4103553d4875,Wireguard
certbot,performs,certonly operation,1e389635-ab16-4b5b-990d-4103553d4875,Wireguard
certonly operation,uses,webroot method,1e389635-ab16-4b5b-990d-4103553d4875,Wireguard
certonly operation,targets,example.org,1e389635-ab16-4b5b-990d-4103553d4875,Wireguard
certonly operation,performs,dry-run,1e389635-ab16-4b5b-990d-4103553d4875,Wireguard
webroot method,is configured with,/var/www/certbot/,1e389635-ab16-4b5b-990d-4103553d4875,Wireguard
user,creates,secrets for SQL-Query-Exporter,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,retrieves,Grafana admin password,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,resolves,IngressRoute error,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,creates,basic auth for Traefik,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,seals,secrets,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,installs,cert-manager,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,generates,password hash,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,downloads,Weave GitOps,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,bootstraps,Flux,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,installs,Ingress-NGINX,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,disables,Traefik,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,installs,kubectl,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,installs,kube-capacity,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,installs,kubecolor,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,installs,kubens,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
user,installs,kubectx,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
secrets,are sealed using,kubeseal,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
secrets,are created using,kubectl,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
curl,downloads,installation script,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
installation script,installs,K3S,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
K3S,creates,kubeconfig file,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
kubeconfig file,is moved to,~/.kube/config,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
Flux,connects to,Git repository,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
Weave GitOps,installs,gitops,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
password hash,is created using,bcrypt-cli,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
basic auth,is encoded using,base64,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
IngressRoute error,is resolved by,changing api version,e6e84e83-1a23-445d-82c6-c4a173d27ba3,K3S
blcorp-ca-media2,is categorized as,old public S3 bucket,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
blcorp-media,is categorized as,old public S3 bucket,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
blcorp-stg-aws-staticfiles,is categorized as,new public S3 bucket,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
Day,is associated with,new MFA,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
rodrigo,is associated with,new MFA,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
dale,is associated with,new MFA,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
paul,is associated with,MFA,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
deborah,is associated with,MFA,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
John,is associated with,MFA,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
Brian,is associated with,MFA,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
bamba,is associated with,MFA,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
irfan,is associated with,MFA,6abb1da3-cf85-4c9a-aff9-ccbdbb785c6f,BRR-3009 & BRR-3007 - OneTrust AWS Alerts
Duplicate Sync Emails,were resolved by,Restarting Celery,d575805b-cfda-4a7a-a78d-4e67402c99d0,Duplicate Sync Emails in QA
Restarting Celery,resolved,Duplicate Sync Emails in QA,d575805b-cfda-4a7a-a78d-4e67402c99d0,Duplicate Sync Emails in QA
Bitbucket Pipelines Runner,requires,Docker,b29f4496-0ee9-4f73-8e5f-114e1b482355,Bitbucket Pipelines Runner
Bitbucket Pipelines Runner,requires,Bitbucket agent,b29f4496-0ee9-4f73-8e5f-114e1b482355,Bitbucket Pipelines Runner
Bitbucket agent,can be configured with,custom command,b29f4496-0ee9-4f73-8e5f-114e1b482355,Bitbucket Pipelines Runner
custom command,includes,-d,b29f4496-0ee9-4f73-8e5f-114e1b482355,Bitbucket Pipelines Runner
pipelines,run on,self.hosted,b29f4496-0ee9-4f73-8e5f-114e1b482355,Bitbucket Pipelines Runner
pipelines,run on,linux,b29f4496-0ee9-4f73-8e5f-114e1b482355,Bitbucket Pipelines Runner
pipelines,run on,digitalocean,b29f4496-0ee9-4f73-8e5f-114e1b482355,Bitbucket Pipelines Runner
Network Security Policy,includes,3.0,a315c410-9fea-485f-a92c-0d3f88c7df9d,Policy Review
Network Security Policy,includes,3.1,a315c410-9fea-485f-a92c-0d3f88c7df9d,Policy Review
Network Security Policy,includes,3.2,a315c410-9fea-485f-a92c-0d3f88c7df9d,Policy Review
Network Security Policy,includes,3.5,a315c410-9fea-485f-a92c-0d3f88c7df9d,Policy Review
Network Security Policy,includes,3.9,a315c410-9fea-485f-a92c-0d3f88c7df9d,Policy Review
3.1,includes,3.1.1,a315c410-9fea-485f-a92c-0d3f88c7df9d,Policy Review
Business Continuity,includes,4.2,a315c410-9fea-485f-a92c-0d3f88c7df9d,Policy Review
Terraform,is run by,user,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
postgis,is created as extension in,bucketlist_sandbox,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
postgis_topology,is created as extension in,bucketlist_sandbox,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
postgres,is set as owner of,public schema,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
postgres,is granted all privileges on,bucketlist_sandbox,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
bucketlist_dev,is granted all privileges on,bucketlist_sandbox,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
bucketlist_dev,is set as owner of,bucketlist_sandbox,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
pg_restore,uses port,25060,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
pg_restore,uses user,doadmin,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
pg_restore,connects to host,bl-nyc3-sandbox-db-do-user-1198627-0.b.db.ondigitalocean.com,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
local_settings.py,is obtained by,user,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
NGINX config file,is reviewed by,user,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
create_users.yml,is executed by,ansible-playbook,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
ansible-playbook,uses inventory file,inventory_sandbox.ini,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
ansible-playbook,sets user,root,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
ansible-playbook,uses SSH private key,~/.ssh/id_root,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
ansible-playbook,sets user,tim,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
ansible-playbook,uses inventory file,inventory_sandbox2.ini,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
ansible-playbook,sets build number,5840,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
2.pre-reqs.yml,is executed by,ansible-playbook,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
3.deployment.yml,is executed by,ansible-playbook,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
bucketlist_sandbox,is dropped from,defaultdb,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
bucketlist_sandbox,is created in,PostgreSQL,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
bucketlist_ci,is granted all privileges on,bucketlist_sandbox,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
bucketlist_staging,is granted all privileges on,bucketlist_sandbox,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
blcorp_develop,is dumped by,pg_dump,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
pg_dump,uses user,doadmin,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
pg_dump,connects to host,blcorp-db-01-nyc3-do-user-1198627-0.db.ondigitalocean.com,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
pg_dump,uses port,25060,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
blcorp_sandbox,is restored by,pg_restore,0180bb76-9873-42ce-88d9-d6a24eea31cf,Environment Rebuild
postgis,is used for,Filter experiences by location,5a43af50-342e-42f5-981b-c9581733a874,BRR-2804 - PostgreSQL Version Consolidation
postgis,is installed in,all environments,5a43af50-342e-42f5-981b-c9581733a874,BRR-2804 - PostgreSQL Version Consolidation
postgis_topology,is installed in,some environments,5a43af50-342e-42f5-981b-c9581733a874,BRR-2804 - PostgreSQL Version Consolidation
Tim Buchinger,is looking at,discrepancies between extension versions,5a43af50-342e-42f5-981b-c9581733a874,BRR-2804 - PostgreSQL Version Consolidation
Version 11,is not available in,DO,5a43af50-342e-42f5-981b-c9581733a874,BRR-2804 - PostgreSQL Version Consolidation
Irfan,uses,postgis for one rarely used feature,5a43af50-342e-42f5-981b-c9581733a874,BRR-2804 - PostgreSQL Version Consolidation
Irfan,does not know if,topology is needed,5a43af50-342e-42f5-981b-c9581733a874,BRR-2804 - PostgreSQL Version Consolidation
Upgrade dialog,says,12 and 13 are OK,5a43af50-342e-42f5-981b-c9581733a874,BRR-2804 - PostgreSQL Version Consolidation
14 and 15,are incompatible due to,extensions,5a43af50-342e-42f5-981b-c9581733a874,BRR-2804 - PostgreSQL Version Consolidation
solution,involves,supervisorctl status all,a42d8247-22ce-4574-a294-2975ebab4dc3,Supervisor - unix:///tmp/supervisor.sock no such file
solution,involves,/usr/bin/supervisord,a42d8247-22ce-4574-a294-2975ebab4dc3,Supervisor - unix:///tmp/supervisor.sock no such file
solution,involves,source /home/bucketlist/blcorp/bin/activate,a42d8247-22ce-4574-a294-2975ebab4dc3,Supervisor - unix:///tmp/supervisor.sock no such file
solution,involves,cd /home/bucketlist/blcorp/configs/staging/,a42d8247-22ce-4574-a294-2975ebab4dc3,Supervisor - unix:///tmp/supervisor.sock no such file
Supervisor,does not work,after reboot,a42d8247-22ce-4574-a294-2975ebab4dc3,Supervisor - unix:///tmp/supervisor.sock no such file
running,causes,error message,a42d8247-22ce-4574-a294-2975ebab4dc3,Supervisor - unix:///tmp/supervisor.sock no such file
error message,indicates,unix:///tmp/supervisor.sock no such file,a42d8247-22ce-4574-a294-2975ebab4dc3,Supervisor - unix:///tmp/supervisor.sock no such file
additional information,available at,https://bucketlist.atlassian.net/wiki/spaces/BTD/pages/428769292/Live+Cloud+Architecture+Details+Server+Creation+and+Conf,a42d8247-22ce-4574-a294-2975ebab4dc3,Supervisor - unix:///tmp/supervisor.sock no such file
solution,involved,starting Celery,701bc97a-96d6-471e-ac7d-222bddea71f3,Celery not processing
solution,involved,stopping Celery,701bc97a-96d6-471e-ac7d-222bddea71f3,Celery not processing
logs,did not contain,errors,701bc97a-96d6-471e-ac7d-222bddea71f3,Celery not processing
servers,were restarted,all,701bc97a-96d6-471e-ac7d-222bddea71f3,Celery not processing
Celery servers,were processing,jobs,701bc97a-96d6-471e-ac7d-222bddea71f3,Celery not processing
Celery beat,was scheduling,jobs,701bc97a-96d6-471e-ac7d-222bddea71f3,Celery not processing
Dev environment,uses,MS Teams,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,lacks,SSO,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,may use,Gmail,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,may use,Outlook,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,may use,Slack,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,schedules,Celery tasks,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,uses,Ruby package,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,considers running,unit tests against the server,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
